FindPhrase	FindPhraseID	FindPhraseStatus	FindPhraseNote	ReplacePhrase	AssignedRoleID	AssignedRole	AssignedRoleRank	JobTitleUsageCount	JobTitleSearchCount	FindPhraseScore
1st	3	rolemodifier			NULL		10000	NULL	NULL	178931
1st Grade	4	rolemodifier			NULL		10000	NULL	NULL	240
1st Grade Teacher	6	assignedrole		1st Grade Teacher	9487	teacher-firstgrade	1	NULL	NULL	36
1st Mate	7	assignedrole		Deckhand	8278	seaman	17	NULL	NULL	16
1st Shift	8	rolemodifier			NULL		10000	NULL	NULL	42613
2015	9	rolemodifier			NULL		10000	NULL	NULL	127142
2nd	10	rolemodifier			NULL		10000	NULL	NULL	213810
2nd Grade	11	rolemodifier			NULL		10000	NULL	NULL	392
2nd Grade Teacher	13	assignedrole		2nd Grade Teacher	9587	teacher-secondgrade	1	NULL	NULL	21
2nd Mate	14	assignedrole		Deckhand	8278	seaman	18	NULL	NULL	15
2nd Shift	15	rolemodifier			NULL		10000	NULL	NULL	131367
365	16	rolemodifier			NULL		10000	NULL	NULL	332
3D	17	rolemodifier			NULL		10000	NULL	NULL	182
3D Artist	18	assignedrole		3D Artist	305	artist-3d	1	NULL	NULL	108
3D Modeler	20	assignedrole		3D Modeler	6772	modeler-3d	1	NULL	NULL	27
3rd	21	rolemodifier			NULL		10000	NULL	NULL	60
3rd Grade	22	rolemodifier			NULL		10000	NULL	NULL	262
3rd Grade Teacher	24	assignedrole		3rd Grade Teacher	9608	teacher-thirdgrade	1	NULL	NULL	53
3rd Mate	25	assignedrole		Deckhand	8278	seaman	10	NULL	NULL	26
3rd Shift	26	rolemodifier			NULL		10000	NULL	NULL	7236
4th	27	rolemodifier			NULL		10000	NULL	NULL	60
4th Grade	28	rolemodifier			NULL		10000	NULL	NULL	294
4th Grade Teacher	30	assignedrole		4th Grade Teacher	9491	teacher-fourthgrade	1	NULL	NULL	21
4th Mate	31	assignedrole		Deckhand	8278	seaman	24	NULL	NULL	3
5th Grade	32	rolemodifier			NULL		10000	NULL	NULL	215
